Claim History,Previous Claims History,Premium Amount,Coverage Amount,Anomaly
2,0,2985,300777,1
1,3,624,510979,1
0,1,4364,166261,1
0,3,1681,943244,1
0,2,3549,492113,1
0,1,1534,427857,1
2,3,3555,376720,1
4,1,2987,742855,1
2,0,2194,479947,1
0,1,4197,620134,1
0,3,3053,761227,1
0,3,1729,579140,1
4,3,680,275026,1
3,3,3474,403662,1
5,2,1228,299313,1
0,0,4314,868017,-1
4,2,2616,698303,1
0,3,4089,256806,1
3,1,1649,748027,1
5,2,4581,196610,1
3,1,761,473492,1
5,3,1884,243465,1
3,0,4898,137433,-1
0,3,4541,309142,1
5,1,3983,329324,1
0,0,4357,320009,1
4,2,1695,761022,1
1,1,3445,192211,1
5,1,3565,200135,1
3,3,2503,718953,1
1,1,4158,643230,1
3,1,1130,735188,1
0,2,4507,795079,1
0,1,4143,659529,1
3,3,3641,448966,1
1,3,4370,396190,1
3,1,1726,424044,1
2,0,3569,422864,1
5,3,4964,476347,1
0,2,4281,407908,1
0,3,2679,203820,1
3,2,1938,843847,1
0,2,4492,700784,1
0,0,1729,703619,1
3,3,3841,346277,1
4,1,3817,330146,1
3,1,2790,491185,1
5,3,1658,68961,-1
1,2,3468,960315,1
3,3,1668,807242,1
0,2,4601,588379,1
1,3,4363,576116,1
2,1,1217,796174,1
0,0,3673,916755,-1
3,0,537,173204,-1
4,0,4764,954661,-1
3,3,4948,321442,1
2,1,2672,455212,1
4,1,2869,552890,1
1,1,2977,239738,1
4,1,3690,164293,1
4,2,3352,154938,1
4,1,3819,616398,1
0,1,3479,357567,1
0,2,3212,353245,1
0,3,2549,191533,1
0,1,1836,897805,1
5,3,2858,348823,1
0,3,2787,628461,1
5,0,3550,381132,1
0,0,2735,275510,1
2,1,2352,419366,1
1,1,3531,608995,1
5,2,3021,346832,1
4,1,2621,875792,1
4,1,4556,475349,1
5,1,4259,807846,1
3,1,1204,460038,1
1,1,3164,592301,1
4,3,2997,857768,1
4,3,4546,140709,1
3,2,3435,362640,1
1,2,4477,457246,1
2,2,2240,340559,1
3,1,3148,279712,1
3,0,4664,779234,1
1,2,2450,303387,1
4,3,3306,394279,1
4,3,4896,786784,1
3,3,4678,439656,1
0,3,3600,278563,1
0,3,1819,785533,1
1,0,740,674384,-1
2,1,3100,325103,1
0,3,1449,180666,1
1,1,729,430467,1
4,0,4013,246819,1
1,2,3481,729239,1
2,3,4559,651207,1
4,3,4316,276977,1
4,1,1546,133041,1
4,0,2575,204714,1
1,2,4217,735336,1
5,1,3596,878436,1
2,3,2391,78929,1
4,1,1226,985321,1
0,1,3811,268814,1
1,3,3004,958963,1
4,3,4407,63335,1
2,3,4651,297310,1
0,0,610,161763,-1
3,3,4658,781051,1
4,3,1122,155103,1
2,3,4931,556582,1
3,2,4391,201909,1
3,1,1884,497477,1
4,0,2122,749789,1
0,1,2573,598868,1
4,3,3599,842428,1
0,1,1376,886199,1
1,3,1213,303947,1
0,2,3085,361583,1
4,0,3875,165483,1
5,1,1792,315087,1
0,2,3893,801811,1
3,2,4939,468187,1
2,0,2052,767630,1
3,1,3599,777960,1
3,1,1978,482699,1
0,3,4442,118771,1
0,1,1745,516851,1
5,1,4656,678669,1
3,3,3076,587982,1
3,3,4482,763277,1
3,0,2085,373007,1
2,3,3223,822107,1
3,1,2874,190558,1
0,3,4571,771520,1
0,3,3596,915380,1
4,3,3001,960968,1
4,0,1595,306346,1
4,3,1721,527675,1
3,0,3161,647924,1
2,0,4435,801913,1
5,3,3598,147959,1
0,1,748,312897,1
4,1,1535,856405,1
5,0,3949,546643,1
2,3,4378,713147,1
3,3,2945,945225,1
0,1,4562,897023,1
3,0,4410,961696,1
2,2,2075,781023,1
4,2,1158,275634,1
0,0,4479,745206,1
0,1,2111,771804,1
0,3,1052,616273,1
4,2,2911,555751,1
1,3,2911,558253,1
2,1,4219,788510,1
1,3,4576,202557,1
3,0,4453,715436,1
0,0,3020,166351,1
5,1,2665,103137,1
3,2,3085,516629,1
4,3,793,638980,1
2,3,3466,612420,1
4,1,3382,659081,1
5,2,2428,221944,1
4,0,3048,355693,1
1,3,4439,967668,1
5,1,2209,391969,1
5,2,1719,867882,1
1,3,4629,129128,1
5,1,4188,968826,-1
0,3,3434,598713,1
4,0,2484,247261,1
5,0,3089,868921,1
5,1,3804,332233,1
4,1,709,793293,1
3,2,752,752893,1
2,3,3680,517206,1
5,1,4642,236437,1
4,2,4083,529366,1
2,1,3679,641811,1
3,2,2063,210497,1
2,2,1191,749985,1
3,1,801,659312,1
0,0,1811,304798,1
0,3,2536,773626,1
2,1,4487,289918,1
2,3,1787,136582,1
3,3,4062,725224,1
4,1,908,428277,1
4,2,2689,76793,1
4,0,1318,786071,1
5,3,4044,602019,1
0,1,2943,768832,1
2,0,3585,174343,1
0,0,4309,894862,-1
5,1,3493,97171,1
1,1,734,187535,1
5,0,2871,269974,1
0,1,4428,52108,1
5,3,4418,996421,-1
0,1,4561,906131,1
1,3,3251,826784,1
4,3,2695,728318,1
3,1,4494,134039,1
4,3,4528,459816,1
2,0,1971,94040,1
2,2,3343,531050,1
5,1,4130,483546,1
1,3,3013,183237,1
2,2,1047,181204,1
4,2,4748,667977,1
4,1,3916,79195,1
1,3,3618,942594,1
0,2,3931,973288,1
4,2,1289,821676,1
4,3,4824,640434,1
4,2,4422,870225,1
4,1,4395,636107,1
5,1,1554,693672,1
2,1,680,478332,1
3,2,1135,128262,1
0,3,2542,258191,1
5,3,3552,286763,1
0,1,3455,135299,1
0,1,2380,451481,1
1,3,4478,765917,1
4,1,3645,559925,1
0,3,2713,935395,1
4,1,3109,941391,1
2,2,4498,844422,1
4,3,3429,973123,1
1,0,4396,384877,1
1,2,2224,751795,1
5,2,4229,273979,1
4,0,623,198706,-1
5,1,1678,414085,1
5,3,4316,886840,1
0,3,686,964544,-1
1,0,4625,645250,1
0,3,4469,208691,1
4,3,2718,598630,1
3,3,3036,293933,1
3,1,3094,211315,1
1,1,1164,573475,1
3,1,918,310073,1
1,1,1841,540438,1
0,2,3143,685052,1
3,0,2842,157875,1
4,2,4747,345408,1
3,3,4361,886287,1
0,0,1933,523441,1
5,0,4467,467758,1
3,3,4497,162748,1
4,1,1521,241239,1
5,1,3997,246392,1
3,3,2947,958335,1
3,1,3038,207624,1
4,1,1439,330659,1
0,1,1724,545825,1
0,3,3915,677040,1
4,2,4174,213086,1
3,2,4070,468075,1
2,2,1439,864431,1
0,3,2606,770355,1
0,0,4136,86390,-1
4,0,3005,175385,1
0,0,1239,483575,1
4,3,1829,511846,1
3,0,4422,166861,1
3,1,3469,308237,1
4,2,4426,873311,1
3,1,4801,800340,1
3,3,2943,299829,1
5,3,3444,162575,1
1,2,3518,162896,1
5,2,2205,861642,1
2,1,4462,135285,1
3,3,1336,501268,1
3,3,3422,386625,1
3,3,4473,205904,1
5,3,2179,294971,1
0,1,4527,593022,1
3,1,1758,954969,1
5,1,4230,664347,1
3,2,2032,380570,1
5,1,739,742261,-1
5,0,1132,373357,-1
4,2,4021,606246,1
1,2,1291,79033,1
4,3,1511,950983,1
5,1,642,204199,-1
3,3,1421,806509,1
1,3,2742,188566,1
0,0,3369,436356,1
0,2,4374,225808,1
4,3,4495,871153,1
3,0,1567,149631,1
4,3,563,94270,-1
2,3,4414,739936,1
2,1,1189,955030,1
4,3,1735,877768,1
1,1,3603,495530,1
4,0,4048,755250,1
0,1,3632,156947,1
0,0,4456,179581,1
4,1,2483,872197,1
4,3,3712,297518,1
2,1,1903,226973,1
0,2,4458,586875,1
3,1,4605,368345,1
4,0,4873,774793,1
3,1,1706,541259,1
2,2,4016,108271,1
1,1,2998,337331,1
0,1,2744,388505,1
0,0,662,918228,-1
4,1,1729,425471,1
4,0,4568,264332,1
3,3,3933,418919,1
4,3,3242,825763,1
2,2,1724,504977,1
2,3,3456,800126,1
0,3,4360,206201,1
4,0,1323,373016,1
4,1,3323,369382,1
1,3,4853,736807,1
3,1,4535,219667,1
0,0,3421,213347,1
0,3,3282,400167,1
4,3,1501,683745,1
4,1,3037,602935,1
3,0,4648,556577,1
3,1,3686,178616,1
3,0,1227,415207,1
0,2,1567,976456,1
1,3,4504,622579,1
0,3,927,973433,-1
3,1,4688,429882,1
4,1,4342,332192,1
1,3,4666,565658,1
2,0,3901,621653,1
0,3,3599,98277,1
0,2,1281,876631,1
2,3,1257,747669,1
1,3,3512,642181,1
2,1,2615,690745,1
3,2,4623,366463,1
3,3,4460,832519,1
3,3,3456,966482,1
4,2,4200,781621,1
4,2,1162,381253,1
0,3,3230,476416,1
4,1,627,599468,1
3,3,4360,84088,1
3,3,4392,860192,1
0,1,4740,715569,1
1,1,1265,859156,1
5,0,4856,464347,-1
4,2,4549,619195,1
4,0,2913,125475,1
0,0,1776,600353,1
0,3,3481,199231,1
4,0,2450,395783,1
4,3,3957,756183,1
5,1,2204,271617,1
5,2,3611,584349,1
3,1,4531,936556,1
4,3,2239,273738,1
5,2,1771,842374,1
3,1,3442,622086,1
4,1,1179,320186,1
4,1,3640,783560,1
0,3,3636,290141,1
3,0,1890,294137,1
0,3,4679,560849,1
5,0,3622,284195,1
1,0,1166,114727,1
3,3,3753,156426,1
5,3,3140,578139,1
4,2,3559,163559,1
1,2,4509,428745,1
5,1,1280,647412,1
0,1,1383,359990,1
4,2,4485,167707,1
4,0,3600,190037,1
2,3,4898,550072,1
2,3,789,91970,-1
4,1,1567,431858,1
5,3,1163,455088,1
5,1,736,262300,1
4,2,4342,482701,1
1,1,4302,206438,1
0,3,4125,504564,1
4,1,4589,514133,1
2,3,1764,64937,1
5,2,1201,506472,1
0,1,1184,393586,1
3,0,4552,305541,1
4,1,4556,242143,1
2,1,3554,292285,1
4,0,1084,700457,1
4,2,2870,312518,1
5,2,3964,563639,1
3,3,4537,598002,1
0,3,3856,457424,1
0,2,4466,889561,1
5,1,2670,207546,1
1,1,1922,170282,1
3,3,1211,513530,1
0,1,4526,952680,1
0,0,3495,777805,1
5,3,702,175546,-1
4,1,4378,954794,1
4,3,1118,150145,1
0,3,2057,94050,1
0,2,2079,823117,1
4,3,3294,441324,1
0,3,4609,1000000,-1
4,3,649,152171,1
3,1,3420,514454,1
3,2,1595,531614,1
3,2,4821,65210,1
1,2,670,186589,1
0,2,4200,306509,1
2,1,3350,847084,1
4,2,4780,84581,1
1,1,4118,385661,1
4,3,4376,159664,1
4,3,783,327395,1
0,0,2810,625613,1
4,1,2999,429228,1
1,1,1612,182804,1
3,2,1153,953632,1
3,0,1832,557498,1
0,0,4465,532452,1
2,0,1512,748819,1
5,1,4102,357200,1
0,3,4510,764388,1
4,3,1244,501694,1
4,3,3559,483479,1
3,3,775,196573,1
3,0,4145,119481,1
1,1,1117,598990,1
3,1,4634,51327,1
0,3,2645,264604,1
5,1,3966,394334,1
1,2,3523,369690,1
3,3,3344,175553,1
4,0,3468,102485,1
2,1,1680,642122,1
3,0,3371,494519,1
2,3,1054,609055,1
1,1,2960,95921,1
0,3,716,274177,1
4,1,1681,330432,1
3,2,869,634402,1
2,1,4473,917754,1
0,2,2604,405122,1
5,1,2654,305182,1
4,0,3360,614867,1
4,1,3297,558656,1
0,1,1089,843416,1
5,3,2864,207614,1
2,3,4676,496522,1
3,1,2855,112008,1
2,2,2873,692771,1
0,0,4370,775671,1
5,0,2706,493796,1
1,3,1306,646687,1
0,2,2606,518309,1
1,3,2311,517400,1
0,2,4838,95268,1
2,2,1880,398312,1
0,2,1695,303821,1
4,1,2219,274229,1
1,1,4613,597289,1
3,3,4419,248502,1
5,1,3477,199792,1
4,3,1322,154165,1
3,2,3242,400676,1
5,0,2829,397691,1
3,3,998,445572,1
0,1,4058,838196,1
1,3,3338,730015,1
5,1,3007,176920,1
1,0,4586,445569,1
3,3,2861,863459,1
0,1,3300,362684,1
3,0,4681,705506,1
5,1,4460,316458,1
1,1,906,82083,1
1,2,2810,681366,1
4,2,4577,902443,1
4,1,952,720784,1
2,2,2646,416051,1
5,3,1222,862268,1
3,3,3599,303354,1
1,3,1387,295998,1
4,3,2931,297569,1
0,1,4518,624351,1
2,2,2278,780456,1
1,2,1419,880270,1
0,2,2820,887930,1
3,1,3923,610902,1
3,2,2360,660436,1
0,1,4450,111816,1
1,1,1816,859082,1
0,1,2189,312001,1
0,3,3666,357656,1
1,1,1759,952636,1
5,1,4393,637176,1
2,1,2390,418037,1
1,1,3603,202402,1
5,3,4720,254957,1
4,1,4891,176846,1
4,0,3626,362964,1
4,1,3061,414946,1
0,1,3298,466238,1
5,0,4846,177804,-1
4,1,4527,541584,1
4,3,4635,964063,1
1,3,587,535264,1
5,2,4338,971797,-1
2,3,866,947972,-1
1,2,4205,389839,1
4,1,1028,595530,1
0,0,1695,155934,1
4,2,3045,970510,1
4,1,3309,207336,1
4,1,4399,182230,1
3,3,1250,300663,1
5,0,728,238901,-1
4,0,3261,777149,1
0,3,3657,520948,1
2,1,722,128733,1
3,2,909,296551,1
4,1,3296,137382,1
4,3,4120,299225,1
0,1,1892,590365,1
0,3,4651,226218,1
0,2,3234,411250,1
2,1,1587,817843,1
4,0,1698,639403,1
4,2,4012,391216,1
4,1,1114,464935,1
2,1,4947,820097,1
4,3,4545,394800,1
0,3,3743,208518,1
4,3,4604,694140,1
2,0,1713,763381,1
4,3,4400,966978,1
0,3,3742,202199,1
5,2,4848,794771,1
3,0,2131,507020,1
5,1,1287,193745,1
3,0,3213,857157,1
0,1,1709,769340,1
3,2,4700,154793,1
0,1,3533,266050,1
0,1,2601,637174,1
4,3,1516,143625,1
5,2,2239,968993,1
0,3,720,602748,1
3,2,4448,565308,1
2,1,2459,336150,1
4,1,4600,643086,1
0,0,2809,749005,1
2,1,3068,355219,1
4,1,2255,127178,1
2,1,749,256779,1
1,2,2323,282876,1
3,1,1625,381794,1
0,2,1419,268570,1
3,3,741,74469,-1
0,1,4306,515660,1
4,3,1541,274309,1
4,3,3697,603421,1
0,3,2952,740460,1
3,3,1426,236893,1
1,2,1703,675808,1
4,3,4592,711023,1
4,3,4521,788075,1
5,2,1234,942321,-1
0,2,3872,749658,1
0,2,4346,753918,1
4,1,2234,113244,1
3,1,3526,340508,1
4,2,638,179642,1
1,3,1640,938849,1
3,0,4395,987879,-1
0,3,1599,682493,1
3,3,4711,632176,1
4,1,4507,489727,1
0,1,2411,807974,1
0,3,1699,549548,1
3,1,4531,573783,1
2,2,4176,263921,1
2,3,1759,434708,1
3,1,4906,616767,1
1,2,4690,206884,1
1,2,3414,114151,1
3,1,4559,473564,1
3,1,4088,516282,1
1,1,3497,165091,1
0,0,1139,456701,1
3,3,3715,171827,1
2,3,3931,554870,1
0,3,799,740045,1
5,2,4679,629433,1
1,0,3537,964287,-1
5,1,2679,579879,1
4,1,875,513200,1
4,1,1753,272474,1
3,3,2334,524773,1
